,type,F1,val
0,TRN_AMNT_EDUC,,0.0
1,DBO_PAY_CNT_CREDS,,0.0
2,DBO_PAY_CNT_ZHKH,,0.0
3,DBO_PAY_AMNT_COMS,,0.0
4,TRN_AMNT_DOMS,,11500.0
5,DBO_PAY_AMNT_CREDS,,0.0
6,TRN_CNT_MUSC,,0.0
7,DBO_PAY_CNT_MLM,,0.0
8,DBO_PAY_AMNT_GOSP,,0.0
9,TRN_CNT_OTHR,,27.0
10,TRN_AMNT_BOOK,,0.0
11,TRN_CNT_HOTL,,0.0
12,DBO_PAY_CNT_WALT,,0.0
13,TRN_CNT_MEDC,,2.0
14,TRN_AMNT_ASRV,,13600.0
15,TRN_AMNT_AURT,,0.0
16,TRN_AMNT_CLTH,,6300.0
17,DBO_PAY_AMNT_MOBL,,0.0
18,TRN_AMNT_TRAN,,0.0
19,DBO_PAY_AMNT_OTHR,,0.0
20,TRN_AMNT_JEWL,,1000.0
21,TRN_CNT_CLTH,,10.0
22,DBO_PAY_CNT_MOBL,,0.0
23,TRN_CNT_TRAN,,0.0
24,TRN_CNT_KINO,,0.0
25,TRN_AMNT_FUEL,,11100.0
26,TRN_AMNT_SPRT,,11700.0
27,TRN_CNT_GAME,,0.0
28,DBO_PAY_AMNT_MLM,,0.0
29,TRN_AMNT_DUTF,,0.0
30,TRN_CNT_BEAU,,17.0
31,TRN_AMNT_KINO,,0.0
32,TRN_AMNT_OTHR,,10200.0
33,TRN_AMNT_ENTR,,0.0
34,TRN_CNT_FLOW,,1.0
35,TRN_AMNT_ZOOS,,200.0
36,DBO_PAY_AMNT_EDUC,,0.0
37,TRN_AMNT_KCSH,,873300.0
38,TRN_CNT_ARTS,,0.0
39,TRN_CNT_SUPM,,510.0
40,TRN_CNT_ASRV,,6.0
41,TRN_AMNT_AVIA,,0.0
42,TRN_AMNT_ARTS,,0.0
43,TRN_CNT_FUEL,,18.0
44,TRN_CNT_BOOK,,0.0
45,TRN_CNT_DUTF,,0.0
46,TRN_AMNT_RSTR,,1600.0
47,TRN_AMNT_MEDC,,500.0
48,TRN_AMNT_APTK,,31400.0
49,TRN_CNT_EDUC,,0.0
50,DBO_PAY_CNT_GOSP,,0.0
51,TRN_AMNT_FLOW,,400.0
52,DBO_PAY_CNT_COMS,,0.0
53,TRN_CNT_ZOOS,,2.0
54,TRN_CNT_JEWL,,2.0
55,TRN_CNT_ZHDT,,0.0
56,TRN_CNT_ENTR,,0.0
57,TRN_AMNT_GAME,,0.0
58,TRN_AMNT_SUPM,,143200.0
59,TRN_CNT_APTK,,72.0
60,TRN_CNT_AVIA,,0.0
61,TRN_AMNT_GSRV,,0.0
62,DBO_PAY_AMNT_ZHKH,,0.0
63,TRN_CNT_TELE,,73.0
64,TRN_AMNT_HOTL,,0.0
65,DBO_PAY_AMNT_INSH,,0.0
66,TRN_CNT_RSTR,,5.0
67,TRN_CNT_CMSV,,0.0
68,TRN_CNT_KCSH,,240.0
69,DBO_PAY_CNT_OTHR,,0.0
70,TRN_AMNT_TELE,,13600.0
71,TRN_AMNT_ZHDT,,0.0
72,DBO_PAY_CNT_EDUC,,0.0
73,DBO_PAY_AMNT_WALT,,0.0
74,TRN_CNT_GSRV,,0.0
75,TRN_AMNT_BEAU,,6100.0
76,TRN_CNT_SPRT,,3.0
77,TRN_CNT_AURT,,0.0
78,TRN_CNT_DOMS,,15.0
79,TRN_AMNT_MUSC,,0.0
80,TRN_AMNT_CMSV,,0.0
81,DBO_PAY_CNT_INSH,,0.0
82,TRN_AMNT_EDUC,71e1e42d79887c04b571828357d5f37e,147200.0
83,DBO_PAY_CNT_CREDS,71e1e42d79887c04b571828357d5f37e,329.0
84,DBO_PAY_CNT_ZHKH,71e1e42d79887c04b571828357d5f37e,3402.0
85,DBO_PAY_AMNT_COMS,71e1e42d79887c04b571828357d5f37e,1081800.0
86,TRN_AMNT_DOMS,71e1e42d79887c04b571828357d5f37e,21332700.0
87,DBO_PAY_AMNT_CREDS,71e1e42d79887c04b571828357d5f37e,1492800.0
88,TRN_CNT_MUSC,71e1e42d79887c04b571828357d5f37e,1241.0
89,DBO_PAY_CNT_MLM,71e1e42d79887c04b571828357d5f37e,78.0
90,DBO_PAY_AMNT_GOSP,71e1e42d79887c04b571828357d5f37e,778100.0
91,TRN_CNT_OTHR,71e1e42d79887c04b571828357d5f37e,28528.0
92,TRN_AMNT_BOOK,71e1e42d79887c04b571828357d5f37e,743600.0
93,TRN_CNT_HOTL,71e1e42d79887c04b571828357d5f37e,418.0
94,DBO_PAY_CNT_WALT,71e1e42d79887c04b571828357d5f37e,262.0
95,TRN_CNT_MEDC,71e1e42d79887c04b571828357d5f37e,1437.0
96,TRN_AMNT_ASRV,71e1e42d79887c04b571828357d5f37e,5094900.0
97,TRN_AMNT_AURT,71e1e42d79887c04b571828357d5f37e,23400.0
98,TRN_AMNT_CLTH,71e1e42d79887c04b571828357d5f37e,26097900.0
99,DBO_PAY_AMNT_MOBL,71e1e42d79887c04b571828357d5f37e,3560200.0
100,TRN_AMNT_TRAN,71e1e42d79887c04b571828357d5f37e,1264100.0
101,DBO_PAY_AMNT_OTHR,71e1e42d79887c04b571828357d5f37e,793700.0
102,TRN_AMNT_JEWL,71e1e42d79887c04b571828357d5f37e,2921300.0
103,TRN_CNT_CLTH,71e1e42d79887c04b571828357d5f37e,11273.0
104,DBO_PAY_CNT_MOBL,71e1e42d79887c04b571828357d5f37e,15175.0
105,TRN_CNT_TRAN,71e1e42d79887c04b571828357d5f37e,2625.0
106,TRN_CNT_KINO,71e1e42d79887c04b571828357d5f37e,969.0
107,TRN_AMNT_FUEL,71e1e42d79887c04b571828357d5f37e,12338100.0
108,TRN_AMNT_SPRT,71e1e42d79887c04b571828357d5f37e,3883000.0
109,TRN_CNT_GAME,71e1e42d79887c04b571828357d5f37e,2907.0
110,DBO_PAY_AMNT_MLM,71e1e42d79887c04b571828357d5f37e,106400.0
111,TRN_AMNT_DUTF,71e1e42d79887c04b571828357d5f37e,340200.0
112,TRN_CNT_BEAU,71e1e42d79887c04b571828357d5f37e,3944.0
113,TRN_AMNT_KINO,71e1e42d79887c04b571828357d5f37e,489000.0
114,TRN_AMNT_OTHR,71e1e42d79887c04b571828357d5f37e,32170700.0
115,TRN_AMNT_ENTR,71e1e42d79887c04b571828357d5f37e,1690600.0
116,TRN_CNT_FLOW,71e1e42d79887c04b571828357d5f37e,661.0
117,TRN_AMNT_ZOOS,71e1e42d79887c04b571828357d5f37e,620200.0
118,DBO_PAY_AMNT_EDUC,71e1e42d79887c04b571828357d5f37e,789200.0
119,TRN_AMNT_KCSH,71e1e42d79887c04b571828357d5f37e,764973300.0
120,TRN_CNT_ARTS,71e1e42d79887c04b571828357d5f37e,38.0
121,TRN_CNT_SUPM,71e1e42d79887c04b571828357d5f37e,175563.0
122,TRN_CNT_ASRV,71e1e42d79887c04b571828357d5f37e,2222.0
123,TRN_AMNT_AVIA,71e1e42d79887c04b571828357d5f37e,6490000.0
124,TRN_AMNT_ARTS,71e1e42d79887c04b571828357d5f37e,78200.0
125,TRN_CNT_FUEL,71e1e42d79887c04b571828357d5f37e,14452.0
126,TRN_CNT_BOOK,71e1e42d79887c04b571828357d5f37e,1153.0
127,TRN_CNT_DUTF,71e1e42d79887c04b571828357d5f37e,89.0
128,TRN_AMNT_RSTR,71e1e42d79887c04b571828357d5f37e,11047700.0
129,TRN_AMNT_MEDC,71e1e42d79887c04b571828357d5f37e,5396700.0
130,TRN_AMNT_APTK,71e1e42d79887c04b571828357d5f37e,9043600.0
131,TRN_CNT_EDUC,71e1e42d79887c04b571828357d5f37e,69.0
132,DBO_PAY_CNT_GOSP,71e1e42d79887c04b571828357d5f37e,486.0
133,TRN_AMNT_FLOW,71e1e42d79887c04b571828357d5f37e,648200.0
134,DBO_PAY_CNT_COMS,71e1e42d79887c04b571828357d5f37e,2419.0
135,TRN_CNT_ZOOS,71e1e42d79887c04b571828357d5f37e,1072.0
136,TRN_CNT_JEWL,71e1e42d79887c04b571828357d5f37e,624.0
137,TRN_CNT_ZHDT,71e1e42d79887c04b571828357d5f37e,755.0
138,TRN_CNT_ENTR,71e1e42d79887c04b571828357d5f37e,744.0
139,TRN_AMNT_GAME,71e1e42d79887c04b571828357d5f37e,2160900.0
140,TRN_AMNT_SUPM,71e1e42d79887c04b571828357d5f37e,86425500.0
141,TRN_CNT_APTK,71e1e42d79887c04b571828357d5f37e,16364.0
142,TRN_CNT_AVIA,71e1e42d79887c04b571828357d5f37e,503.0
143,TRN_AMNT_GSRV,71e1e42d79887c04b571828357d5f37e,661900.0
144,DBO_PAY_AMNT_ZHKH,71e1e42d79887c04b571828357d5f37e,4932600.0
145,TRN_CNT_TELE,71e1e42d79887c04b571828357d5f37e,19982.0
146,TRN_AMNT_HOTL,71e1e42d79887c04b571828357d5f37e,2804800.0
147,DBO_PAY_AMNT_INSH,71e1e42d79887c04b571828357d5f37e,70400.0
148,TRN_CNT_RSTR,71e1e42d79887c04b571828357d5f37e,24862.0
149,TRN_CNT_CMSV,71e1e42d79887c04b571828357d5f37e,7664.0
150,TRN_CNT_KCSH,71e1e42d79887c04b571828357d5f37e,135229.0
151,DBO_PAY_CNT_OTHR,71e1e42d79887c04b571828357d5f37e,563.0
152,TRN_AMNT_TELE,71e1e42d79887c04b571828357d5f37e,5216400.0
153,TRN_AMNT_ZHDT,71e1e42d79887c04b571828357d5f37e,2162000.0
154,DBO_PAY_CNT_EDUC,71e1e42d79887c04b571828357d5f37e,404.0
