"","CLIENT_HASH_ID","CARD_HASH_ID","CARD_TYPE_NAME","CREDIT_CARD","CARD_WITH_PERC","CARD_CO_BRAND","CARD_WITH_CASHBACK","STATUS_NAME","DATE_TO_WORK","START_DATE","EXPIRE_DATE","FACT_CLOSE_DATE","SMS_START_DATE","SMS_END_DATE","F1","GENDER","AGE"
"1","0005351c4d0077ecaed14daa97364214","1e0e33eca652226ec84986c406312fdb","VISA Classic",0,0,0,0,"CLOSED","2011-10-28 00:00:00","2011-10-28 00:00:00","2014-11-02 00:00:00","2015-03-04 00:00:00","2012-06-21 00:00:00","2012-07-07 00:00:00","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",22
"2","0005351c4d0077ecaed14daa97364214","326da558d9ac0e3a49d36d786c88c3e8","VISA Classic",0,0,0,0,"OK","2014-10-25 00:00:00","2014-10-25 00:00:00","2017-11-02 00:00:00","(null)","2016-06-10 00:00:00","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ֶ",22
"54","001620117c71f5dd39d254716e2d4236","a7ad579b26f4f3295ffdd97812187dd4","ָּ׀",0,0,0,0,"OK","2016-08-26 00:00:00","2016-08-10 00:00:00","2019-09-02 00:00:00","(null)","(null)","(null)","381b0b043094c8cf1fc0e5ecd17a4461","ּ",13
"55","001620117c71f5dd39d254716e2d4236","ca1376b37bd3de21630b80f2ccffcdac","VISA Classic",0,0,0,0,"OK","2014-09-20 00:00:00","2014-09-17 00:00:00","2017-10-02 00:00:00","(null)","(null)","(null)","381b0b043094c8cf1fc0e5ecd17a4461","ּ",13
"249","004646f2f8e69e2531838fa54ba12164","786060e3f691c0d11987326ac2eb787b","MasterCard Electronic",0,0,0,0,"OK","2014-09-24 00:00:00","2014-09-24 00:00:00","2019-10-02 00:00:00","(null)","2016-05-27 00:00:00","(null)","b628d7d2ba91a097a131c51788e8c4ea","ֶ",24
"250","004646f2f8e69e2531838fa54ba12164","96e9a78828563b2f54608fe3998cacaa","MasterCard Electronic",0,0,0,0,"OK","2014-11-29 00:00:00","2014-11-29 00:00:00","2019-12-02 00:00:00","(null)","2016-05-27 00:00:00","(null)","b628d7d2ba91a097a131c51788e8c4ea","ֶ",24
"251","004646f2f8e69e2531838fa54ba12164","6e86eb0c531fca66d696f38da2623da7","VISA Classic",1,0,0,0,"OK","(null)","2012-05-17 00:00:00","2015-06-02 00:00:00","2012-11-20 00:00:00","(null)","(null)","b628d7d2ba91a097a131c51788e8c4ea","ֶ",24
"252","004646f2f8e69e2531838fa54ba12164","c1be66b1c0122d86ff2fcb89d4b75313","VISA Classic",0,0,0,0,"CLOSED","2010-09-16 00:00:00","2013-09-13 00:00:00","2016-10-02 00:00:00","2014-11-02 00:00:00","(null)","(null)","b628d7d2ba91a097a131c51788e8c4ea","ֶ",24
"253","004646f2f8e69e2531838fa54ba12164","83c4cff19c1911bea738292ef27ffa88","VISA Classic",0,0,0,0,"OK","2014-10-03 00:00:00","2014-08-14 00:00:00","2017-09-02 00:00:00","(null)","(null)","(null)","b628d7d2ba91a097a131c51788e8c4ea","ֶ",24
"267","004d2bc6ce7d20673f809fe46682a9ed","3cce28152931950fd09046ee3fc3e963","VISA Classic",0,0,0,0,"OK","2010-08-28 00:00:00","2013-09-05 00:00:00","2016-10-02 00:00:00","(null)","2016-04-13 00:00:00","2016-06-02 00:00:00","8215444bab327ec0f170d0ef7296c026","ֶ",22
"282","0053e73bae0d869fb405699b83be77c3","bce8c8f8a59daff2dce44619c80f45ee","VISA Classic",0,0,0,0,"OK","2014-04-05 00:00:00","2014-04-05 00:00:00","2017-05-02 00:00:00","(null)","2015-04-23 00:00:00","(null)","6ede6f872f8d56aa83876b96bcde60d4","ּ",24
"283","0053e73bae0d869fb405699b83be77c3","191b331cf55cd8aff85de08eb7051e20","VISA Classic",0,0,1,0,"CLOSED","2014-04-25 00:00:00","2014-02-14 00:00:00","2017-03-02 00:00:00","2016-02-08 00:00:00","(null)","(null)","6ede6f872f8d56aa83876b96bcde60d4","ּ",24
"334","00626deccff0e00deb2ae94a3fc1148b","bcd1e5aeeeb70cf746ad64d48d81608b","VISA Classic",0,0,0,0,"CLOSED","2011-02-20 00:00:00","2011-02-08 00:00:00","2014-03-02 00:00:00","2014-04-12 00:00:00","2012-06-26 00:00:00","2013-08-13 00:00:00","8df3acb67e47faaeb753cc9a4c6ced3e","ּ",20
"335","00626deccff0e00deb2ae94a3fc1148b","68a2099601204d040e3d587bcacaaebe","VISA Classic",0,0,0,0,"OK","2014-06-20 00:00:00","2014-06-20 00:00:00","2017-07-02 00:00:00","(null)","2016-03-12 00:00:00","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ּ",20
"336","00626deccff0e00deb2ae94a3fc1148b","db30d0049de776d693437a440b944317","VISA Classic",0,0,0,0,"OK","2014-03-21 00:00:00","2014-03-01 00:00:00","2017-03-02 00:00:00","(null)","2015-09-01 00:00:00","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","ּ",20
"339","006433285160ebdeec5f3494ae73e085","206ec9eb56d6dab12a7d3cdb97b831a8","MasterCard Electronic",0,0,0,0,"OK","2011-09-27 00:00:00","2011-09-27 00:00:00","2016-10-02 00:00:00","(null)","2012-06-21 00:00:00","2012-08-15 00:00:00","71e1e42d79887c04b571828357d5f37e","ֶ",22
"340","006433285160ebdeec5f3494ae73e085","134b74d844e958161aaccfcd29b06ad8","MasterCard Electronic",0,0,0,0,"OK","2015-04-22 00:00:00","2015-04-22 00:00:00","2020-05-02 00:00:00","(null)","(null)","(null)","71e1e42d79887c04b571828357d5f37e","ֶ",22
"355","006bb2d6999d407f7e21f762de99371a","d99644c8330e3a51d20657861db0df45","VISA Platinum",0,0,0,0,"OK","2012-11-21 00:00:00","2012-10-10 00:00:00","2015-11-02 00:00:00","(null)","2013-05-07 00:00:00","2015-11-03 00:00:00","71e1e42d79887c04b571828357d5f37e","ּ",22
"356","006bb2d6999d407f7e21f762de99371a","a065d5b2519e018673eabfb1dcb14dc4","VISA Classic",0,0,0,0,"CLOSED","2011-12-15 00:00:00","2011-12-15 00:00:00","2015-01-02 00:00:00","2012-12-31 00:00:00","2012-07-24 00:00:00","2012-11-21 00:00:00","71e1e42d79887c04b571828357d5f37e","ּ",22
