"","CLIENT_HASH_ID","CONTRACT_HASH_ID","TERM","CONTRACT_SUM","CURRENT_SUM","CURRENT_INTEREST_RATE","OPEN_DATE","PLAN_CLOSE_DATE","FACT_CLOSE_DATE","PRODUCT","CONTRACT_TYPE","CURRENT_PRINCIPAL_SUM","F1","GENDER","AGE"
"1","0005351c4d0077ecaed14daa97364214","67521bc440134d0f95b10e006391005d","(null)","0",0,"0","2011-10-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","Ж",22
"273","004646f2f8e69e2531838fa54ba12164","8c39a040930d2a3bc70871c792283c7c","(null)","0",0,"0","2014-10-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","Ж",24
"274","004646f2f8e69e2531838fa54ba12164","4c3fc89a64630d095b050a6c4088f0d8","(null)","0",0,"0","2010-09-16 00:00:00","(null)","2015-11-14 00:00:00","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","Ж",24
"275","004646f2f8e69e2531838fa54ba12164","4c2796738a598c7f754bcc054c9d87da","(null)","0",0,"0","2012-05-17 00:00:00","(null)","2012-11-20 00:00:00","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","Ж",24
"276","004646f2f8e69e2531838fa54ba12164","f32e1b03f6fcfd0542e6357ffb102e4b","(null)","70000",0,"0","2012-05-17 00:00:00","(null)","2012-11-20 00:00:00","Кредитная карта","C","0","b628d7d2ba91a097a131c51788e8c4ea","Ж",24
"277","004646f2f8e69e2531838fa54ba12164","18f9bbb023aacd78e66ceea673bb82fb","(null)","0",0,"0","2014-09-24 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","Ж",24
"295","004d2bc6ce7d20673f809fe46682a9ed","b5015bb98b53b8805ba010ccb50ef723","(null)","0",400,"0","2010-08-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",22
"318","0053e73bae0d869fb405699b83be77c3","7d89664f5021f395838d272899d8bfb2","(null)","0",0,"0","2014-04-25 00:00:00","(null)","2016-05-14 00:00:00","Текущий счёт","D","(null)","6ede6f872f8d56aa83876b96bcde60d4","М",24
"319","0053e73bae0d869fb405699b83be77c3","509f13a6227b7f422492bfd2233667ea","(null)","0",0,"0","2014-04-05 00:00:00","(null)","(null)","Текущий счёт","D","(null)","6ede6f872f8d56aa83876b96bcde60d4","М",24
"389","00626deccff0e00deb2ae94a3fc1148b","2fc47c5c1d082ec69081a1c3ae03a773","(null)","200",0,"0","2011-02-08 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","М",20
"390","00626deccff0e00deb2ae94a3fc1148b","32501249640e9534f4cb68920e5d1913","(null)","0",0,"0","2014-06-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","М",20
"393","006433285160ebdeec5f3494ae73e085","b83c2cec8b4e7d1035717211b5a077ad","(null)","0",0,"0","2011-09-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","Ж",22
"406","006bb2d6999d407f7e21f762de99371a","ddf0df2a0405ac6d6bbc3f7a48963183","(null)","0",0,"0","2011-12-15 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",22
"410","006dcd4987e3175715c4205440c17e53","4c46e7e6107ed0074b135191a55f51dd","(null)","0",300,"0","2012-08-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",21
"411","006dcd4987e3175715c4205440c17e53","a71e157412a240b647ef97571250ae20","(null)","(null)",300,"18","2015-03-16 00:00:00","(null)","(null)","Овердрафт","C","0","71e1e42d79887c04b571828357d5f37e","М",21
"412","006dcd4987e3175715c4205440c17e53","e007fd590922e3bdeae4c46c31041bbd","(null)","300",0,"0","2015-10-16 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",21
"451","0074ffbe5e087f94b4f8d27c985f913e","ba385e610f4765ff6db6841664ddcfe7","(null)","0",800,"0","2013-10-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",20
"504","00860e07df4794a9756d7fbb802f1f24","a0bafb18de786a9212bc7292d08a477e","(null)","0",0,"0","2013-09-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",21
"563","0095b2f832bd75dbccc3127cbb8dbee9","36b50a5c8f3e552248406ce8eba016f0","(null)","100",100,"0","2012-09-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","ea77621ec0b8418bfa7b81253ab7d321","Ж",20
"592","00a347e1c5201fd45fc7f2496663a418","4458878da772cba55fda3cf6c4cfd63c","(null)","(null)",100,"18","2014-07-17 00:00:00","(null)","(null)","Овердрафт","C","0","385043f3881c79a5959ab4c3145f8aa8","М",21
"593","00a347e1c5201fd45fc7f2496663a418","ea4e29354786d366f657b21c92fac3f7","(null)","100",100,"0","2013-09-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","М",21
"594","00a4e53d7c6e174181a7cb315ff94a85","5f820570ad30372559823aa4097de2f7","(null)","(null)",100,"18","2014-04-01 00:00:00","(null)","(null)","Овердрафт","C","0","8215444bab327ec0f170d0ef7296c026","Ж",22
"595","00a4e53d7c6e174181a7cb315ff94a85","cb07cc0b4061da1d5d58f30d95b60213","(null)","100",100,"0","2011-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",22
"660","00b4bb6724de137c72e2d9d97612c5bc","b92e9583090c847c089ee375117946d6","(null)","0",1400,"0","2013-06-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",24
"661","00b4bb6724de137c72e2d9d97612c5bc","f722457fc0393824cba367a190262604","24","92000",1700,"20","2015-07-16 00:00:00","2017-07-15 00:00:00","(null)","Потребительский кредит","C","41500","385043f3881c79a5959ab4c3145f8aa8","Ж",24
"662","00b4bb6724de137c72e2d9d97612c5bc","50702c5022e9e758516682919019e841","(null)","0",0,"0","2014-01-01 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",24
"679","00b724aee5643e673dbff18dc9a73642","9a179089959fd7b23b3d89d4d4953461","(null)","0",0,"0","2013-10-09 00:00:00","(null)","(null)","Текущий счёт","D","(null)","0e521f30657448f205ecf7a46e4105c0","М",19
"681","00b85576e16b23828b6e5e07c0b8c411","62c41fb540fc2af4f61e56ae3c2c42b1","(null)","0",0,"0","2011-11-02 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3c423cf4f2bdd61e4dc739b26d945709","Ж",22
"708","00c54d7a766feb2efd0d0f6ed9bfe348","97d68d6b1c9937712be25e9814811853","(null)","0",0,"0","2013-09-24 00:00:00","(null)","(null)","Текущий счёт","D","(null)","7d33c54b3363042d090cb011b215279c","М",19
"740","00cabaa4f461d76aa4184d30baef77a3","30f45583942795ada667ee0ecfec1be4","(null)","0",0,"0","2011-08-18 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","М",20
"741","00cabaa4f461d76aa4184d30baef77a3","9d1491ea1055f263bcdab008e8ed4647","(null)","0",0,"0","2012-09-21 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","М",20
"805","00d302d426d98b65869636a884688499","785b2bd866c919ec878826709c6c1862","(null)","0",0,"0","2014-11-07 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","М",22
"806","00d302d426d98b65869636a884688499","0cef0042739bd7cb1c97c18005ae6346","(null)","(null)",1000,"18","2015-06-08 00:00:00","(null)","(null)","Овердрафт","C","0","b871449af47f30db11ef29b52e39819d","М",22
